algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100300,125000,True,1.00,50,41.36,243252.75,0.30
Greedy Search,100300,62500,False,0.96,200,75.59,121626.38,0.30
Greedy Search,100300,93750,True,1.00,70,41.16,182439.56,0.30
Greedy Search,100300,78125,True,1.00,70,34.01,152032.97,0.30
Greedy Search,100300,70313,True,1.00,71,31.07,136830.64,0.30
Greedy Search,100300,66407,True,1.00,70,28.83,129229.48,0.30
Greedy Search,100300,64454,True,1.00,71,28.27,125428.90,0.30
Greedy Search,100300,63477,False,0.96,200,73.66,123527.64,0.30
Greedy Search,100300,63966,False,0.95,200,73.52,124479.24,0.30
Greedy Search,100300,64210,False,0.96,200,73.49,124954.07,0.30
Greedy Search,100300,64332,True,1.00,71,27.82,125191.49,0.30
Greedy Search,100300,64271,False,0.96,200,74.12,125072.78,0.30
Greedy Search,100300,64302,True,1.00,60,24.04,125133.11,0.30
Greedy Search,100300,64287,False,0.96,200,73.03,125103.92,0.30
Greedy Search,100300,64295,True,1.00,60,23.70,125119.48,0.30
Greedy Search,100300,64291,True,1.00,71,27.38,125111.70,0.30
Greedy Search,100300,64289,False,0.96,200,73.08,125107.81,0.30
Greedy Search,100300,64290,False,0.96,200,73.46,125109.75,0.30
Greedy Search,100301,1000000,True,1.00,70,448.12,1945056.00,0.30
Greedy Search,100301,500000,True,1.00,70,222.40,972528.00,0.30
Greedy Search,100301,250000,True,1.00,71,111.44,486264.00,0.30
Greedy Search,100301,125000,True,1.00,71,55.31,243132.00,0.30
Greedy Search,100301,62500,False,0.94,200,75.68,121566.00,0.30
Greedy Search,100301,93750,True,1.00,70,40.79,182349.00,0.30
Greedy Search,100301,78125,True,1.00,60,29.64,151957.50,0.30
Greedy Search,100301,70313,False,0.96,200,81.48,136762.72,0.30
Greedy Search,100301,74219,True,1.00,71,32.03,144360.11,0.30
Greedy Search,100301,72266,True,1.00,60,26.87,140561.42,0.30
Greedy Search,100301,71290,True,1.00,71,30.83,138663.04,0.30
Greedy Search,100301,70802,True,1.00,70,30.22,137713.85,0.30
Greedy Search,100301,70558,False,0.96,200,80.80,137239.26,0.30
Greedy Search,100301,70680,True,1.00,60,26.56,137476.56,0.30
Greedy Search,100301,70619,False,0.96,200,80.76,137357.91,0.30
Greedy Search,100301,70650,True,1.00,71,30.20,137418.21,0.30
Greedy Search,100301,70635,False,0.96,200,79.58,137389.03,0.30
Greedy Search,100301,70643,True,1.00,71,30.16,137404.59,0.30
Greedy Search,100301,70639,False,0.96,200,80.11,137396.81,0.30
Greedy Search,100301,70641,False,0.96,200,80.13,137400.70,0.30
Greedy Search,100301,70642,True,1.00,60,26.10,137402.65,0.30
Greedy Search,100302,1000000,True,1.00,20,148.42,1949352.00,0.30
Greedy Search,100302,500000,True,1.00,20,71.98,974676.00,0.30
Greedy Search,100302,250000,True,1.00,60,91.53,487338.00,0.30
Greedy Search,100302,125000,True,1.00,70,53.08,243669.00,0.30
Greedy Search,100302,62500,True,1.00,71,27.13,121834.50,0.30
Greedy Search,100302,31250,False,0.72,200,37.71,60917.25,0.30
Greedy Search,100302,46875,False,0.86,200,56.08,91375.88,0.30
Greedy Search,100302,54688,False,0.92,200,64.90,106606.16,0.30
Greedy Search,100302,58594,False,0.92,200,69.78,114220.33,0.30
Greedy Search,100302,60547,False,0.96,200,70.19,118027.42,0.30
Greedy Search,100302,61524,True,1.00,60,23.19,119931.93,0.30
Greedy Search,100302,61036,False,0.96,200,71.33,118980.65,0.30
Greedy Search,100302,61280,True,1.00,71,26.90,119456.29,0.30
Greedy Search,100302,61158,False,0.97,200,70.42,119218.47,0.30
Greedy Search,100302,61219,False,0.96,200,70.24,119337.38,0.30
Greedy Search,100302,61250,False,0.97,200,69.46,119397.81,0.30
Greedy Search,100302,61265,False,0.96,200,69.37,119427.05,0.30
Greedy Search,100302,61273,True,1.00,71,26.34,119442.65,0.30
Greedy Search,100302,61269,False,0.96,200,68.61,119434.85,0.30
Greedy Search,100302,61271,True,1.00,60,22.62,119438.75,0.30
Greedy Search,100302,61270,False,0.96,200,68.83,119436.80,0.30
Greedy Search,100303,1000000,True,1.00,41,282.84,1945428.00,0.30
Greedy Search,100303,500000,True,1.00,30,106.01,972714.00,0.30
Greedy Search,100303,250000,True,1.00,70,108.43,486357.00,0.30
Greedy Search,100303,125000,True,1.00,70,53.58,243178.50,0.30
Greedy Search,100303,62500,False,0.95,200,73.15,121589.25,0.30
Greedy Search,100303,93750,True,1.00,70,40.10,182383.88,0.30
Greedy Search,100303,78125,True,1.00,61,29.74,151986.56,0.30
Greedy Search,100303,70313,True,1.00,71,30.74,136788.88,0.30
Greedy Search,100303,66407,True,1.00,70,28.92,129190.04,0.30
Greedy Search,100303,64454,False,0.96,200,74.46,125390.62,0.30
Greedy Search,100303,65431,True,1.00,67,27.36,127291.30,0.30
Greedy Search,100303,64943,False,0.96,200,74.99,126341.93,0.30
Greedy Search,100303,65187,False,0.96,200,75.10,126816.62,0.30
Greedy Search,100303,65309,False,0.96,200,74.93,127053.96,0.30
Greedy Search,100303,65370,False,0.96,200,74.90,127172.63,0.30
Greedy Search,100303,65401,True,1.00,70,28.11,127232.94,0.30
Greedy Search,100303,65386,False,0.96,200,74.90,127203.76,0.30
Greedy Search,100303,65394,True,1.00,70,28.18,127219.32,0.30
Greedy Search,100303,65390,False,0.96,200,74.97,127211.54,0.30
